name,gender,language
Emma,F,en
Olivia,F,en
Ava,F,en
Isabella,F,en
Sophia,F,en
Mia,F,en
Charlotte,F,en
Amelia,F,en
Evelyn,F,en
Abigail,F,en
Harper,F,en
Emily,F,en
Elizabeth,F,en
Avery,F,en
Sofia,F,en
Ella,F,en
Madison,F,en
Scarlett,F,en
Victoria,F,en
Aria,F,en
Grace,F,en
Chloe,F,en
Camila,F,en
Penelope,F,en
Riley,F,en
Layla,F,en
Lillian,F,en
Nora,F,en
Zoey,F,en
Mila,F,en
Aubrey,F,en
Hannah,F,en
Lily,F,en
Addison,F,en
Eleanor,F,en
Natalie,F,en
Luna,F,en
Savannah,F,en
Brooklyn,F,en
Leah,F,en
Zoe,F,en
Stella,F,en
Hazel,F,en
Ellie,F,en
Paisley,F,en
Audrey,F,en
Skylar,F,en
Violet,F,en
Claire,F,en
Bella,F,en
Aurora,F,en
Lucy,F,en
Anna,F,en
Samantha,F,en
Caroline,F,en
Genesis,F,en
Aaliyah,F,en
Kennedy,F,en
Kinsley,F,en
Allison,F,en
Maya,F,en
Sarah,F,en
Madelyn,F,en
Adeline,F,en
Alexa,F,en
Ariana,F,en
Elena,F,en
Gabriella,F,en
Naomi,F,en
Alice,F,en
Sadie,F,en
Hailey,F,en
Eva,F,en
Emilia,F,en
Autumn,F,en
Quinn,F,en
Nevaeh,F,en
Piper,F,en
Ruby,F,en
Serenity,F,en
Willow,F,en
Everly,F,en
Cora,F,en
Kaylee,F,en
Lydia,F,en
Aubree,F,en
Arianna,F,en
Eliana,F,en
Peyton,F,en
Melanie,F,en
Gianna,F,en
Isabelle,F,en
Julia,F,en
Valentina,F,en
Nova,F,en
Clara,F,en
Vivian,F,en
Reagan,F,en
Mackenzie,F,en
Madeline,F,en
Brielle,F,en
Delilah,F,en
Isla,F,en
Rylee,F,en
Katherine,F,en
Sophie,F,en
Josephine,F,en
Ivy,F,en
Liliana,F,en
Jade,F,en
Maria,F,en
Taylor,F,en
Hadley,F,en
Kylie,F,en
Emery,F,en
Adalynn,F,en
Natalia,F,en
Annabelle,F,en
Faith,F,en
